Deixa eu buscar os três bancos.Agora vou buscar todas as páginas em rascunho dos três bancos.Aqui estão todos os links organizados por banco:

---

## 🗑️ Dumpster — 23 artigos

| # | Título | Link |
| 5 | How Many Trucks and Movers Do You Actually Need to Start? | https://www.notion.so/3531d1af6d0781fc9acce1a4a56558c1 |
| 6 | Moving Company Pricing Guide 2026 | https://www.notion.so/3531d1af6d078144b680e353e02db243 |
| 7 | How to Build Your Moving Company Rate Card | https://www.notion.so/3531d1af6d0781cabfaedd6210bd3c45 |
| 8 | Local Moves vs. Long-Distance: Which Is More Profitable? | https://www.notion.so/3531d1af6d07811f9a5de8df24ebdf7c |
| 9 | Your First 30 Days Running a Moving Company | https://www.notion.so/3531d1af6d0781e691a5f6b83385e2af |
| 10 | I Just Got My First Moving Job — Now What? | https://www.notion.so/3531d1af6d0781708916e9ba75411339 |
| 11 | The Real Cost of an Idle Moving Truck | https://www.notion.so/3531d1af6d0781d98672cec4433bf280 |
| 12 | My Trucks Are Sitting Idle — How Do I Keep Them Booked? | https://www.notion.so/3531d1af6d07815c8981c4d4a1e8e0dc |
| 13 | What Happens When You Only Rely on Word-of-Mouth | https://www.notion.so/3531d1af6d0781d4a92ad52c285ea845 |
| 14 | Moving Company Marketing: What Actually Works in 2026 | https://www.notion.so/3531d1af6d078152aec4e3a24804036b |
| 15 | Why Moving Lead Sites Don't Work (And What Does) | https://www.notion.so/3531d1af6d0781cab8e4d2857e801aa6 |
| 16 | SEO vs Google Ads vs Pay-Per-Move | https://www.notion.so/3531d1af6d078107aec5d4d886f6623c |
| 17 | Pay-Per-Move vs. Marketing Agencies | https://www.notion.so/3531d1af6d0781769e28e25fc6a3c552 |
| 18 | How to Scale From 1 Truck to 2 | https://www.notion.so/3531d1af6d0781a2a5acefd889408f1c |
| 19 | 5 Signs You're Ready to Scale Your Moving Business | https://www.notion.so/3531d1af6d0781359d81faf8fe04e357 |
| 20 | How to Handle Competition in Your Market | https://www.notion.so/3531d1af6d0781bc8f1ce95252532a8a |
| 21 | Case Study: From 2 to 8 Trucks in 12 Months | https://www.notion.so/3531d1af6d0781918fbcc9fafa9f0d1b |
| 22 | Adding Moving Services to Your Existing Business | https://www.notion.so/3531d1af6d078130a1b3f5b9b0d6eaea |
| 23 | How to Add Moving Services to Your Existing Business | https://www.notion.so/3531d1af6d0781068b40f1e18c8cc067 |

---

## 🇧🇷 Brasil — 46 artigos

**Grupo 1 — Vendas e mentalidade (23)**

| # | Título | Link |
|---|--------|------|
| 1 | Por que a maioria das agências brasileiras não consegue fechar clientes internacionais | https://www.notion.so/3541d1af6d07812d88f7e777e8d0efc7 |
| 2 | Vender em dólar sendo brasileiro | https://www.notion.so/3541d1af6d0781cc8796f2ff8e1d2f74 |
| 3 | Closer call em inglês: o framework | https://www.notion.so/3541d1af6d0781a2a8d9c4a61e2d8b2b |
| 4 | Por que seu portfólio impressiona no Brasil mas não converte lá fora | https://www.notion.so/3541d1af6d0781c6afeed37a11d28492 |
| 5 | O que um comprador americano pensa nos primeiros 3 minutos | https://www.notion.so/3541d1af6d0781758bf5d07107ca14f8 |
| 6 | Como montar uma operação comercial internacional sem contratar nos EUA | https://www.notion.so/3541d1af6d0781529343f71d14668d5c |
| 7 | O erro mais comum de agências brasileiras ao entrar no mercado americano | https://www.notion.so/3541d1af6d078152b805f6d30a1251bd |
| 8 | Por que vendas B2B internacionais exigem um processo diferente | https://www.notion.so/3541d1af6d07817daf4af43df40c0963 |
| 9 | Como precificar seus serviços para o mercado americano | https://www.notion.so/3541d1af6d07817ba8b0c5cda8bbea9b |
| 10 | Objeções que todo brasileiro enfrenta ao vender para clientes nos EUA | https://www.notion.so/3541d1af6d0781888b7d62f6699fb99 |
| 11 | Agência brasileira no mercado americano: vale a pena? | https://www.notion.so/3541d1af6d078177aa57c6ad23b41649 |
| 12 | Como montar um time de closer calls em inglês operando do Brasil | https://www.notion.so/3541d1af6d0781e4864bf7c878510355 |
| 13 | Quanto cobrar por serviços de marketing para empresas americanas | https://www.notion.so/3541d1af6d0781428142892c2ea558bd1fa75 |
| 14 | Diferenças culturais que sabotam vendas B2B de brasileiros | https://www.notion.so/3541d1af6d0781a0bed6f9446aaaa753 |
| 15 | Como construir confiança com um cliente americano | https://www.notion.so/3541d1af6d0781e89dfef3d4847208b6 |
| 16 | O que é o modelo pay-per-result | https://www.notion.so/3541d1af6d0781f19afde8c4574ac82a |
| 17 | Como usar o Google Ads para gerar leads B2B internacionais | https://www.notion.so/3541d1af6d0781b6a530c45ae332e539 |
| 18 | Escalar uma agência para faturar em dólar | https://www.notion.so/3541d1af6d0781aa92abfc8123834037 |
| 19 | Checklist: o que você precisa ter antes de começar a prospectar | https://www.notion.so/3541d1af6d0781fa9a98eb7ba0e5ceff |
| 20 | Primeiros passos para montar uma operação de vendas internacionais | https://www.notion.so/3541d1af6d07810e86e6fa784ad759c0 |
| 21 | Como preparar seu LinkedIn para atrair clientes americanos | https://www.notion.so/3541d1af6d0781cebb4ac14eb633fe70 |
| 22 | Qual nicho de mercado americano tem mais demanda | https://www.notion.so/3541d1af6d0781fda6eeddcbad427cdc |
| 23 | Como funciona o funil de vendas B2B no mercado americano | https://www.notion.so/3541d1af6d0781c18968c8f12b69834a |

**Grupo 2 — Operacional (23)**

| # | Título | Link |
|---|--------|------|
| 24 | Como montar um relatório de Google Ads para clientes americanos | https://www.notion.so/3541d1af6d078136ab7bc67373e84317 |
| 25 | Ferramentas essenciais para agências brasileiras que atendem clientes americanos | https://www.notion.so/3541d1af6d07819ab9d1c8f508f3017b |
| 26 | Como configurar um Google Ads MCC para sua agência | https://www.notion.so/3541d1af6d078126b3a5d33ad26c5e43 |
| 27 | Como rastrear conversões corretamente em campanhas de home services | https://www.notion.so/3541d1af6d078195bd3cf272363c5609 |
| 28 | Como criar uma landing page que converte para o mercado americano | https://www.notion.so/3541d1af6d078184a1bcc26f5cffb06d |
| 29 | Como estruturar o onboarding de um novo cliente americano | https://www.notion.so/3541d1af6d0781debf23c6166a013c96 |
| 30 | Como estruturar contratos em inglês para clientes americanos | https://www.notion.so/3541d1af6d0781378e74f4bf488b6397 |
| 31 | Como receber pagamentos em dólar do Brasil | https://www.notion.so/3541d1af6d0781afaad3c9c581545e06 |
| 32 | Como configurar rastreamento de chamadas com CallRail | https://www.notion.so/3541d1af6d0781869b6deed8a5d9c0d1 |
| 33 | Qual CRM usar para gerenciar clientes americanos | https://www.notion.so/3541d1af6d0781d5a923c2b0521c1868 |
| 34 | Como criar e otimizar um Google Business Profile para clientes americanos | https://www.notion.so/3541d1af6d078176b229ed84f52e15b1 |
| 35 | Como fazer follow-up de leads americanos | https://www.notion.so/3541d1af6d0781b7be9becddd0da57c5 |
| 36 | Como usar o Looker Studio para criar dashboards | https://www.notion.so/3541d1af6d0781cd838de03a5cbbdf8a |
| 37 | Como configurar a segmentação geográfica no Google Ads | https://www.notion.so/3541d1af6d0781f3a9ecd226964c741a |
| 38 | Como analisar os dados de uma campanha e gerar insights | https://www.notion.so/3541d1af6d0781b59bd5c15cb1f9e8f2 |
| 39 | Como escalar de 1 para 10 clientes americanos | https://www.notion.so/3541d1af6d07813c8013f7c8903ada1b |
| 40 | Como lidar com churn de clientes americanos | https://www.notion.so/3541d1af6d0781489008dfa84bc09193 |
| 41 | Como usar Google Tag Manager sem precisar de desenvolvedor | https://www.notion.so/3541d1af6d0781d1adf1ec24e996416a |
| 42 | Como definir e apresentar SLAs para clientes americanos | https://www.notion.so/3541d1af6d0781cd90c7f52e38102b9e |
| 43 | Como fazer pesquisa de palavras-chave para home services nos EUA | https://www.notion.so/3541d1af6d078134a056ce2a1d100e72 |
| 44 | Como criar anúncios de Google Ads que convertem para home services | https://www.notion.so/3541d1af6d07813d8ddbd34de8f97e00 |
| 45 | Como treinar um atendente para responder leads americanos | https://www.notion.so/3541d1af6d0781edb5bef5511c9942d2 |

---

Total: **92 artigos em rascunho** nos três bancos. Quer que eu faça algum ajuste ou publique algum específico?
